Code,Name,Costing Method,Sales account,Don't delete
0914000047982,CALIFORNIA SCENNPRT,FIFO,Sales Shoc+,5200300
0914000212076,CALIFORNIA SCENTS COOL GEL ORANGE 1PC,FIFO,Sales Select,5200200
091400040598,CALIFORNIA SCENTS CORONADO CHERRY 42G,FIFO,Sales Shoc+,5200300
091400040604,CALIFORNIA SCENTS NEWPORT NEW CAR 42G,FIFO,Sales Select,5200200
091400040611,CALIFORNIA SCENTS LA JOLLA LEMON 42G,FIFO,Sales Shoc+,5200300
091400040628,CALIFORNIA SCENTS ICE 42G,FIFO,Sales Shoc+,5200300
091400040635,CALIFORNIA SCENTS GOLDEN STATE DELIGHT 1PC,FIFO,Sales Shoc+,5200300
091400040642,CALIFORNIA SCENTS COOL GEL SHASTA STRAWBERRY 70G,FIFO,Sales Shoc+,5200300
091400040659,CALISC CLGL NWPRT70G,FIFO,Sales Shoc+,5200300
091400040666,CALI SC CGL CRCHR70G,FIFO,Sales Shoc+,5200300
091400040673,CALIFORNIA SCENT PALMS CORONADO CHERRY 1PC,FIFO,Sales Shoc+,5200300
091400040680,CALIFORNIA SCENT PALMS NEWPORT NEW CAR 1PC,FIFO,Sales Shoc+,5200300
091400040697,CALIFORNIA SCENTS PALMS LAGUNA BREEZE 1PC,FIFO,Sales Shoc+,5200300
091400040703,CALIFORNIA SCENT PALMS ICE 1PC,FIFO,Sales Shoc+,5200300
091400040710,CALI SC SHST STRB1PC,FIFO,Sales Shoc+,5200300
091400040758,CALIFORNIA CHR 2X3ML,FIFO,Sales Shoc+,5200300
091400040765,CALIFORNIA CAR 2X3ML,FIFO,Sales Shoc+,5200300
091400040772,CALIFORNIA GLD 2X3ML,FIFO,Sales Shoc+,5200300
091400040932,CALI CG CRND CHR126G,FIFO,Sales Shoc+,5200300
091400040956,CALIFORNIA SCENTS COOL GEL NEWPORT NEW CAR 126G,FIFO,Sales Select,5200200
091400042097,CALIFORNIA SCENTS NEWPORT NEW CAR 2x3ML,FIFO,Sales Shoc+,5200300
098426801752,EL HOMBRE TEQUILA SILVER 700 ML,FIFO,Sales Select,5200200
100000000281,FF SIOMAI PLAIN 1PC,FIFO,Sales Select,5200200
100000000298,FF SIOMAI PLAIN WITH RICE 1PC,FIFO,Sales Select,5200200
100000000410,MISTER DONUT BAVARIAN FAMILY PAPERBOX X1,FIFO,Sales Select,5200200
100000000434,MD CLASSIC BAVARIAN DONUT 1PC,FIFO,Sales Select,5200200
100000000441,MISTER DONUT POLYBAG-BIG 1PC,FIFO,Sales Select,5200200
100000000465,MISTER DONUT SMIDGETS 1PC,FIFO,Sales Select,5200200
100000000472,MD STRAWBERRY FILLED DONUT 1PC,FIFO,Sales Select,5200200
100000000496,MISTER DONUT TWIST CHOCOLATE CARAMEL PEANUT 1PC,FIFO,Sales Select,5200200
100000001639,SR SWEET PAO UBE SWEET POTATO 1PC,FIFO,Sales Select,5200200
100000002605,ANNIE PIE CHOCO CHIP COOKIES 1PC,FIFO,Sales Select,5200200
100000002612,ANNIE PIE CHOCO CHIP COOKIES 1PACK,FIFO,Sales Select,5200200
100000003091,D2G BLACKSERVCONE1PC,FIFO,Sales Select,5200200
100000003114,D2G VANSFTSRVCONE1PC,FIFO,Sales Select,5200200
100000003299,ANNIE PIE CHOCOLATE MOIST CAKE SLICE 1PC,FIFO,Sales Select,5200200
100000003336,BV PANCIT CANTON GUI,FIFO,Sales Select,5200200
100000003756,MD DUTCH CHOCO DONUT 1PC,FIFO,Sales Select,5200200
100000003763,MD CHOCO FILLED DONUT 1PC,FIFO,Sales Select,5200200
100000003770,MD CHOCO BUTTERNUT 1PC,FIFO,Sales Select,5200200
100000003862,MIST SMIDGETS1PC,FIFO,Sales Select,5200200
100000004210,NESCAFE ALEGRIA BLACK 8OZ,FIFO,Sales Select,5200200
100000004227,NESCAFE ALEGRIA CAPPUCCINO 8OZ,FIFO,Sales Select,5200200
100000004234,NESCAFE ALEGRIA CARAMEL MACCHIATO 8OZ,FIFO,Sales Select,5200200
100000004272,NESCAFE ALEGRIA MILO 8OZ,FIFO,Sales Select,5200200
100000004289,NESCAFE ALEGRIA MOCHA 8OZ,FIFO,Sales Select,5200200
100000005842,KIREI SHRIMP FLAVOR 45 G,FIFO,Sales Select,5200200
100000006115,CHIPS DELIGHT COFFEE CARAMEL160 G,FIFO,Sales Select,5200200
100000006221,LEMON SQUARE LAVA CREAMY BAV 38 G,FIFO,Sales Select,5200200
100000006764,TROLLI 77 G,FIFO,Sales Select,5200200
